Code,Name,Country,Exchange,Currency,Type,Isin,ticker,name
DAI,Decidr Ai Industries Ltd,Australia,AU,AUD,Common Stock,AU0000386310,DAI,Decidr Ai Industries Ltd
DAL,Dalaroo Metals Ltd,Australia,AU,AUD,Common Stock,AU0000172025,DAL,Dalaroo Metals Ltd
DAOR,Aoris Int Fund (Class D) (Hedged) Active ETF,Australia,AU,AUD,ETF,AU60PIM18120,DAOR,Aoris Int Fund (Class D) (Hedged) Active ETF
DAVA,Dimensional Australian Value Trust - Active ETF,Australia,AU,AUD,ETF,,DAVA,Dimensional Australian Value Trust - Active ETF
DBBF,Betashares Ethical Diversified Balanced ETF,Australia,AU,AUD,ETF,AU0000059610,DBBF,Betashares Ethical Diversified Balanced ETF
DBF,Duxton Farms Ltd,Australia,AU,AUD,Common Stock,AU000000DBF4,DBF,Duxton Farms Ltd
DBI,Dalrymple Bay Infrastructure Ltd,Australia,AU,AUD,Common Stock,AU0000120628,DBI,Dalrymple Bay Infrastructure Ltd
DBO,Diablo Resources Ltd,Australia,AU,AUD,Common Stock,AU0000172009,DBO,Diablo Resources Ltd
DCC,Digitalx Ltd,Australia,AU,AUD,Common Stock,AU000000DCC9,DCC,Digitalx Ltd
DCL,DomaCom Limited,Australia,AU,AUD,Common Stock,AU000000DCL0,DCL,DomaCom Limited
DCOR,Daintree Core Income Active ETF,Australia,AU,AUD,ETF,,DCOR,Daintree Core Income Active ETF
DDB,Dynamic Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000095010,DDB,Dynamic Group Holdings Ltd
DDR,Dicker Data Ltd,Australia,AU,AUD,Common Stock,AU000000DDR5,DDR,Dicker Data Ltd
DDT,Datadot Technology Ltd,Australia,AU,AUD,Common Stock,AU000000DDT1,DDT,Datadot Technology Ltd
DEL,Delorean Corporation Ltd,Australia,AU,AUD,Common Stock,AU0000139974,DEL,Delorean Corporation Ltd
DEM,De.Mem Ltd,Australia,AU,AUD,Common Stock,AU000000DEM4,DEM,De.Mem Ltd
DES,Desoto Resources Ltd,Australia,AU,AUD,Common Stock,AU0000245763,DES,Desoto Resources Ltd
DEV,DEVEX Resources Ltd,Australia,AU,AUD,Common Stock,AU000000DEV5,DEV,DEVEX Resources Ltd
DFGH,Dimensional Global Core Equity Trust Aud Hedged - Active ETF,Australia,AU,AUD,ETF,AU60DFA00091,DFGH,Dimensional Global Core Equity Trust Aud Hedged - Active ETF
DFND,Vaneck Global Defence ETF,Australia,AU,AUD,ETF,,DFND,Vaneck Global Defence ETF
DGCE,Dimensional Global Core Equity Trust Unhedged - Active ETF,Australia,AU,AUD,ETF,,DGCE,Dimensional Global Core Equity Trust Unhedged - Active ETF
DGGF,Betashares Ethical Diversified Growth ETF,Australia,AU,AUD,ETF,AU0000059594,DGGF,Betashares Ethical Diversified Growth ETF
DGH,Desane Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000DGH9,DGH,Desane Group Holdings Ltd
DGL,DGL Group Ltd,Australia,AU,AUD,Common Stock,AU0000149338,DGL,DGL Group Ltd
DGR,DGR Global Ltd,Australia,AU,AUD,Common Stock,AU000000DGR8,DGR,DGR Global Ltd
DGSM,Dimensional Global Small Company - Active ETF,Australia,AU,AUD,ETF,,DGSM,Dimensional Global Small Company - Active ETF
DGT,Digico Infrastructure REIT,Australia,AU,AUD,Common Stock,,DGT,Digico Infrastructure REIT
DGVA,Dimensional Global Value Trust - Active ETF,Australia,AU,AUD,ETF,,DGVA,Dimensional Global Value Trust - Active ETF
DHG,Domain Holdings Australia Ltd,Australia,AU,AUD,Common Stock,AU000000DHG9,DHG,Domain Holdings Australia Ltd
DHHF,Betashares Diversified All Growth ETF,Australia,AU,AUD,ETF,AU0000059586,DHHF,Betashares Diversified All Growth ETF
DHOF,Daintree HYBRID Opportunities Active ETF,Australia,AU,AUD,ETF,AU60WPC20540,DHOF,Daintree HYBRID Opportunities Active ETF
DIFF,Perpetual Diversified Income Active Etf,Australia,AU,AUD,ETF,AU0000405474,DIFF,Perpetual Diversified Income Active Etf
DJRE,SPDR Dow Jones Global Real Estate Esg Tilted ETF,Australia,AU,AUD,ETF,AU00000DJRE9,DJRE,SPDR Dow Jones Global Real Estate Esg Tilted ETF
DJW,Djerriwarrh Investments Ltd,Australia,AU,AUD,Common Stock,AU000000DJW2,DJW,Djerriwarrh Investments Ltd
DKM,Duketon Mining Ltd,Australia,AU,AUD,Common Stock,AU000000DKM1,DKM,Duketon Mining Ltd
DLI,Delta Lithium Ltd,Australia,AU,AUD,Common Stock,AU0000276495,DLI,Delta Lithium Ltd
DLM,Dominion Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000184202,DLM,Dominion Minerals Ltd
DM1,Desert Metals Ltd,Australia,AU,AUD,Common Stock,AU0000118572,DM1,Desert Metals Ltd
DME,Dome Gold Mines Ltd,Australia,AU,AUD,Common Stock,AU000000DME4,DME,Dome Gold Mines Ltd
DMG,Dragon Mountain Gold Ltd,Australia,AU,AUD,Common Stock,AU000000DMG9,DMG,Dragon Mountain Gold Ltd
DMM,DMC Mining Ltd,Australia,AU,AUD,Common Stock,AU0000185860,DMM,DMC Mining Ltd
DMP,Dominos PIZZA Enterprises Ltd,Australia,AU,AUD,Common Stock,AU000000DMP0,DMP,Dominos PIZZA Enterprises Ltd
DN1,Dominion Income Trust 1,Australia,AU,AUD,Common Stock,,DN1,Dominion Income Trust 1
DNA,Donaco International Ltd,Australia,AU,AUD,Common Stock,AU000000DNA0,DNA,Donaco International Ltd
DNL,Dyno Nobel Ltd,Australia,AU,AUD,Common Stock,AU0000390544,DNL,Dyno Nobel Ltd
DOC,Doctor Care Anywhere Group Plc,Australia,AU,AUD,Common Stock,AU0000116238,DOC,Doctor Care Anywhere Group Plc
DOW,Downer Edi Ltd,Australia,AU,AUD,Common Stock,AU000000DOW2,DOW,Downer Edi Ltd
DRE,Dreadnought Resources Ltd,Australia,AU,AUD,Common Stock,AU0000040297,DRE,Dreadnought Resources Ltd
DRGN,Global X China Tech ETF,Australia,AU,AUD,ETF,AU0000390049,DRGN,Global X China Tech ETF
DRIV,Betashares Electric Vehicles and FTR Mobility ETF,Australia,AU,AUD,ETF,AU0000187767,DRIV,Betashares Electric Vehicles and FTR Mobility ETF
DRO,Droneshield Ltd,Australia,AU,AUD,Common Stock,AU000000DRO2,DRO,Droneshield Ltd
DRR,Deterra Royalties Ltd,Australia,AU,AUD,Common Stock,AU0000107484,DRR,Deterra Royalties Ltd
DRUG,Betashares Global Healthcare Currency Hedged ETF,Australia,AU,AUD,ETF,AU00000DRUG1,DRUG,Betashares Global Healthcare Currency Hedged ETF
DRX,Diatreme Resources Ltd,Australia,AU,AUD,Common Stock,AU000000DRX3,DRX,Diatreme Resources Ltd
DSK,Dusk Group Ltd,Australia,AU,AUD,Common Stock,AU0000109662,DSK,Dusk Group Ltd
DTEC,Global X Defence Tech ETF,Australia,AU,AUD,ETF,,DTEC,Global X Defence Tech ETF
DTI,DTI Group Ltd,Australia,AU,AUD,Common Stock,AU000000DTI0,DTI,DTI Group Ltd
DTL,Data 3 Ltd,Australia,AU,AUD,Common Stock,AU000000DTL4,DTL,Data 3 Ltd
DTM,Dart Mining NL,Australia,AU,AUD,Common Stock,AU000000DTM2,DTM,Dart Mining NL
DTR,Dateline Resources Ltd,Australia,AU,AUD,Common Stock,AU000000DTR1,DTR,Dateline Resources Ltd
DTZ,DOTZ Nano Ltd,Australia,AU,AUD,Common Stock,AU000000DTZ4,DTZ,DOTZ Nano Ltd
DUB,Dubber Corporation Ltd,Australia,AU,AUD,Common Stock,AU000000DUB3,DUB,Dubber Corporation Ltd
DUG,DUG Technology Ltd,Australia,AU,AUD,Common Stock,AU0000095721,DUG,DUG Technology Ltd
DUI,Diversified United Investment Ltd,Australia,AU,AUD,Common Stock,AU000000DUI8,DUI,Diversified United Investment Ltd
DUN,Dundas Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000178139,DUN,Dundas Minerals Ltd
DUR,Duratec Ltd,Australia,AU,AUD,Common Stock,AU0000109159,DUR,Duratec Ltd
DVDY,Vaneck Morningstar Australian Moat Income ETF,Australia,AU,AUD,ETF,AU0000102048,DVDY,Vaneck Morningstar Australian Moat Income ETF
DVL,Dorsavi Ltd,Australia,AU,AUD,Common Stock,AU000000DVL0,DVL,Dorsavi Ltd
DVP,Develop Global Ltd,Australia,AU,AUD,Common Stock,AU0000179707,DVP,Develop Global Ltd
DWG,Dataworks Group Ltd,Australia,AU,AUD,Common Stock,AU0000388712,DWG,Dataworks Group Ltd
DXB,Dimerix Ltd,Australia,AU,AUD,Common Stock,AU000000DXB7,DXB,Dimerix Ltd
DXC,Dexus Convenience Retail REIT,Australia,AU,AUD,Common Stock,AU0000179061,DXC,Dexus Convenience Retail REIT
DXI,Dexus Industria REIT,Australia,AU,AUD,Common Stock,AU0000192833,DXI,Dexus Industria REIT
DXN,DXN Ltd,Australia,AU,AUD,Common Stock,AU0000003386,DXN,DXN Ltd
DXS,Dexus,Australia,AU,AUD,Common Stock,AU000000DXS1,DXS,Dexus
DY6,DY6 Metals Ltd,Australia,AU,AUD,Common Stock,AU0000274284,DY6,DY6 Metals Ltd
DYL,Deep Yellow Ltd,Australia,AU,AUD,Common Stock,AU000000DYL4,DYL,Deep Yellow Ltd
DYM,Dynamic Metals Ltd,Australia,AU,AUD,Common Stock,AU0000253379,DYM,Dynamic Metals Ltd
DZZF,Betashares Ethical Diversified High Growth ETF,Australia,AU,AUD,ETF,AU0000059602,DZZF,Betashares Ethical Diversified High Growth ETF
E200,SPDR S&P/ASX 200 Esg ETF,Australia,AU,AUD,ETF,AU0000096125,E200,SPDR S&P/ASX 200 Esg ETF
E25,Element 25 Ltd,Australia,AU,AUD,Common Stock,AU0000012098,E25,Element 25 Ltd
E79,E79 Gold Mines Ltd,Australia,AU,AUD,Common Stock,AU0000171415,E79,E79 Gold Mines Ltd
EAFZ,Ellerston Asia Growth Fund Complex ETF,Australia,AU,AUD,ETF,AU0000278400,EAFZ,Ellerston Asia Growth Fund Complex ETF
EAT,Entertainment Rewards Ltd,Australia,AU,AUD,ETF,,EAT,Entertainment Rewards Ltd
EAX,Energy Action Ltd,Australia,AU,AUD,Common Stock,AU000000EAX7,EAX,Energy Action Ltd
EBND,Vaneck Emerging Income Opportunities Active ETF,Australia,AU,AUD,ETF,AU0000076606,EBND,Vaneck Emerging Income Opportunities Active ETF
EBO,Ebos Group Ltd,Australia,AU,AUD,Common Stock,NZEBOE0001S6,EBO,Ebos Group Ltd
EBR,EBR Systems Inc,Australia,AU,AUD,Common Stock,AU0000182552,EBR,EBR Systems Inc
EBTC,Global X 21Shares Bitcoin ETF,Australia,AU,AUD,ETF,,EBTC,Global X 21Shares Bitcoin ETF
ECF,Elanor Commercial Property Fund,Australia,AU,AUD,Common Stock,AU0000063893,ECF,Elanor Commercial Property Fund
ECH,Echelon Resources Ltd,Australia,AU,AUD,Common Stock,,ECH,Echelon Resources Ltd
ECL,Excelsior Capital Ltd,Australia,AU,AUD,Common Stock,AU0000037889,ECL,Excelsior Capital Ltd
ECP,ECP Emerging Growth Ltd,Australia,AU,AUD,Common Stock,AU0000067514,ECP,ECP Emerging Growth Ltd
ECS,ECS Botanics Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000052490,ECS,ECS Botanics Holdings Ltd
ECT,Environmental Clean Technologies Ltd,Australia,AU,AUD,Common Stock,AU0000018137,ECT,Environmental Clean Technologies Ltd
ECTDC,Ordinary Fully Paid Deferred Settlement,Australia,AU,AUD,Common Stock,AU0000405565,ECTDC,Ordinary Fully Paid Deferred Settlement
EDC,Eildon Capital Group,Australia,AU,AUD,Common Stock,AU000000EDC5,EDC,Eildon Capital Group
EDE,Eden Innovations Ltd,Australia,AU,AUD,Common Stock,AU000000EDE1,EDE,Eden Innovations Ltd
EDEDA,Ordinary Fully Paid Deferred Settlement,Australia,AU,AUD,Common Stock,AU0000402687,EDEDA,Ordinary Fully Paid Deferred Settlement
EDU,EDU Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000198483,EDU,EDU Holdings Ltd
EDV,Endeavour Group Ltd,Australia,AU,AUD,Common Stock,AU0000154833,EDV,Endeavour Group Ltd
EE1,EARTHS Energy Ltd,Australia,AU,AUD,Common Stock,AU000000CXX3,EE1,EARTHS Energy Ltd
EEG,Empire Energy Group Ltd,Australia,AU,AUD,Common Stock,AU000000EEG4,EEG,Empire Energy Group Ltd
EEL,Enrg Elements Ltd,Australia,AU,AUD,Common Stock,AU0000234676,EEL,Enrg Elements Ltd
EETH,Global X 21Shares Ethereum ETF,Australia,AU,AUD,ETF,,EETH,Global X 21Shares Ethereum ETF
EFE,Eastern Resources Ltd,Australia,AU,AUD,Common Stock,AU000000EFE6,EFE,Eastern Resources Ltd
EG1,Evergreen Lithium Ltd,Australia,AU,AUD,Common Stock,AU0000265324,EG1,Evergreen Lithium Ltd
EGG,Enero Group Ltd,Australia,AU,AUD,Common Stock,AU000000EGG9,EGG,Enero Group Ltd
EGH,Eureka Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000EGH7,EGH,Eureka Group Holdings Ltd
EGL,Environmental Group Ltd (the),Australia,AU,AUD,Common Stock,AU000000EGL9,EGL,Environmental Group Ltd (the)
EGR,Ecograf Ltd,Australia,AU,AUD,Common Stock,AU0000071482,EGR,Ecograf Ltd
EGY,Energy Technologies Ltd,Australia,AU,AUD,Common Stock,AU000000EGY2,EGY,Energy Technologies Ltd
EHL,Emeco Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000EHL7,EHL,Emeco Holdings Ltd
EIGA,Perennial Income Generator Active ETF,Australia,AU,AUD,ETF,AU0000003022,EIGA,Perennial Income Generator Active ETF
EIQ,Echoiq Ltd,Australia,AU,AUD,Common Stock,AU0000195430,EIQ,Echoiq Ltd
EL8,Elevate Uranium Ltd,Australia,AU,AUD,Common Stock,AU0000156416,EL8,Elevate Uranium Ltd
ELD,Elders Ltd,Australia,AU,AUD,Common Stock,AU000000ELD6,ELD,Elders Ltd
ELS,Elsight Ltd,Australia,AU,AUD,Common Stock,AU000000ELS4,ELS,Elsight Ltd
ELT,Elementos Ltd,Australia,AU,AUD,Common Stock,AU000000ELT2,ELT,Elementos Ltd
EM2,Eagle Mountain Mining Ltd,Australia,AU,AUD,Common Stock,AU0000000366,EM2,Eagle Mountain Mining Ltd
EMB,Embelton Ltd,Australia,AU,AUD,Common Stock,AU000000EMB8,EMB,Embelton Ltd
EMC,Everest Metals Corporation Ltd,Australia,AU,AUD,Common Stock,AU0000258170,EMC,Everest Metals Corporation Ltd
EMD,Emyria Ltd,Australia,AU,AUD,Common Stock,AU0000073645,EMD,Emyria Ltd
EME,Energy Metals Ltd,Australia,AU,AUD,Common Stock,AU000000EME2,EME,Energy Metals Ltd
EMH,European Metals Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000EMH5,EMH,European Metals Holdings Ltd
EMKT,Vaneck MSCI Multifactor Em Markets Equity ETF,Australia,AU,AUD,ETF,AU0000004368,EMKT,Vaneck MSCI Multifactor Em Markets Equity ETF
EML,EML Payments Ltd,Australia,AU,AUD,Common Stock,AU000000EML7,EML,EML Payments Ltd
EMN,Euro Manganese Inc,Australia,AU,AUD,Common Stock,AU0000022451,EMN,Euro Manganese Inc
EMP,Emperor Energy Ltd,Australia,AU,AUD,Common Stock,AU000000EMP8,EMP,Emperor Energy Ltd
EMR,Emerald Resources NL,Australia,AU,AUD,Common Stock,AU000000EMR4,EMR,Emerald Resources NL
EMS,Eastern Metals Ltd,Australia,AU,AUD,Common Stock,AU0000173304,EMS,Eastern Metals Ltd
EMT,Emetals Ltd,Australia,AU,AUD,Common Stock,AU0000076200,EMT,Emetals Ltd
EMU,EMU NL,Australia,AU,AUD,Common Stock,AU000000EMU8,EMU,EMU NL
EMUCA,Emu NL,Australia,AU,AUD,Common Stock,AU0000EMUCA2,EMUCA,Emu NL
EMV,Emvision Medical Devices Ltd,Australia,AU,AUD,Common Stock,AU0000028375,EMV,Emvision Medical Devices Ltd
EMXC,Ishares MSCI Emerging Markets Ex China ETF,Australia,AU,AUD,ETF,,EMXC,Ishares MSCI Emerging Markets Ex China ETF
ENL,Enlitic Inc,Australia,AU,AUD,Common Stock,AU0000305427,ENL,Enlitic Inc
ENN,Elanor Investors Group,Australia,AU,AUD,Common Stock,AU000000ENN1,ENN,Elanor Investors Group
ENR,Encounter Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ENR2,ENR,Encounter Resources Ltd
ENT,Enterprise Metals Ltd,Australia,AU,AUD,Common Stock,AU000000ENT8,ENT,Enterprise Metals Ltd
ENV,Enova Mining Ltd,Australia,AU,AUD,Common Stock,AU0000089351,ENV,Enova Mining Ltd
ENX,Enegex Ltd,Australia,AU,AUD,Common Stock,AU000000ENX0,ENX,Enegex Ltd
EOF,Ecofibre Ltd,Australia,AU,AUD,Common Stock,AU0000040057,EOF,Ecofibre Ltd
EOL,Energy One Ltd,Australia,AU,AUD,Common Stock,AU000000EOL3,EOL,Energy One Ltd
EOS,Electro Optic Systems Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000EOS8,EOS,Electro Optic Systems Holdings Ltd
EPM,Eclipse Metals Ltd,Australia,AU,AUD,Common Stock,AU000000EPM8,EPM,Eclipse Metals Ltd
EPN,Epsilon Healthcare Ltd,Australia,AU,AUD,Common Stock,AU0000137598,EPN,Epsilon Healthcare Ltd
EPX,Ep&T Global Ltd,Australia,AU,AUD,Common Stock,AU0000141525,EPX,Ep&T Global Ltd
EPY,Earlypay Ltd,Australia,AU,AUD,Common Stock,AU0000119570,EPY,Earlypay Ltd
EQN,Equinox Resources Ltd,Australia,AU,AUD,Common Stock,AU0000173965,EQN,Equinox Resources Ltd
EQR,EQ Resources Ltd,Australia,AU,AUD,Common Stock,AU0000122749,EQR,EQ Resources Ltd
EQS,Equity Story Group Ltd,Australia,AU,AUD,Common Stock,AU0000208654,EQS,Equity Story Group Ltd
EQT,EQT Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000EQT1,EQT,EQT Holdings Ltd
EQX,Equatorial Resources Ltd,Australia,AU,AUD,Common Stock,AU000000EQX3,EQX,Equatorial Resources Ltd
ERA,Energy Resources of Australia Ltd,Australia,AU,AUD,Common Stock,AU000000ERA9,ERA,Energy Resources of Australia Ltd
ERD,Eroad Ltd,Australia,AU,AUD,Common Stock,NZERDE0001S5,ERD,Eroad Ltd
ERG,Eneco Refresh Ltd,Australia,AU,AUD,Common Stock,AU0000041881,ERG,Eneco Refresh Ltd
ERL,Empire Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ERL6,ERL,Empire Resources Ltd
ERM,Emmerson Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ERM4,ERM,Emmerson Resources Ltd
ERTH,Betashares Climate Change Innovation ETF,Australia,AU,AUD,ETF,AU0000106049,ERTH,Betashares Climate Change Innovation ETF
ESGI,Vaneck MSCI International Sustainable Equity ETF,Australia,AU,AUD,ETF,AU0000001356,ESGI,Vaneck MSCI International Sustainable Equity ETF
ESK,Etherstack Plc,Australia,AU,AUD,Common Stock,AU000000ESK6,ESK,Etherstack Plc
ESPO,Vaneck Video Gaming and Esports ETF,Australia,AU,AUD,ETF,AU0000102667,ESPO,Vaneck Video Gaming and Esports ETF
ESR,Estrella Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ESR1,ESR,Estrella Resources Ltd
ESTX,Global X Euro STOXX 50 ETF,Australia,AU,AUD,ETF,AU00000ESTX4,ESTX,Global X Euro STOXX 50 ETF
ETHI,Betashares Global Sustainability Leaders ETF,Australia,AU,AUD,ETF,AU00000ETHI8,ETHI,Betashares Global Sustainability Leaders ETF
ETM,Energy Transition Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000250250,ETM,Energy Transition Minerals Ltd
ETPMAG,Global X Metal Securities Australia Ltd,Australia,AU,AUD,ETF,AU000ETPMAG8,ETPMAG,Global X Metal Securities Australia Ltd
ETPMPD,Global X Metal Securities Australia Ltd,Australia,AU,AUD,ETF,AU000ETPMPD3,ETPMPD,Global X Metal Securities Australia Ltd
ETPMPM,Global X Metal Securities Australia Ltd,Australia,AU,AUD,ETF,AU000ETPMPM4,ETPMPM,Global X Metal Securities Australia Ltd
ETPMPT,Global X Metal Securities Australia Ltd,Australia,AU,AUD,ETF,AU000ETPMPT9,ETPMPT,Global X Metal Securities Australia Ltd
ETR,ENTYR Ltd,Australia,AU,AUD,Common Stock,AU0000255226,ETR,ENTYR Ltd
EUR,European Lithium Ltd,Australia,AU,AUD,Common Stock,AU000000EUR7,EUR,European Lithium Ltd
EV1,Evolution Energy Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000180200,EV1,Evolution Energy Minerals Ltd
EV1R,Rights - Applications Close 05-sep-2025 Deferred,Australia,AU,AUD,Common Stock,AU0000412215,EV1R,Rights - Applications Close 05-sep-2025 Deferred
EVE,EVE Health Group Limited,Australia,AU,AUD,Common Stock,AU000000EVE3,EVE,EVE Health Group Limited
EVG,Evion Group NL,Australia,AU,AUD,Common Stock,AU0000254690,EVG,Evion Group NL
EVN,Evolution Mining Ltd,Australia,AU,AUD,Common Stock,AU000000EVN4,EVN,Evolution Mining Ltd
EVO,Embark Early Education Ltd,Australia,AU,AUD,Common Stock,NZEVOE0001S4,EVO,Embark Early Education Ltd
EVR,EV Resources Ltd,Australia,AU,AUD,Common Stock,AU0000196206,EVR,EV Resources Ltd
EVS,Envirosuite Ltd,Australia,AU,AUD,Common Stock,AU000000EVS3,EVS,Envirosuite Ltd
EVT,EVT Ltd,Australia,AU,AUD,Common Stock,AU000000EVT1,EVT,EVT Ltd
EVZ,EVZ Ltd,Australia,AU,AUD,Common Stock,AU000000EVZ8,EVZ,EVZ Ltd
EWC,Energy World Corporation Ltd,Australia,AU,AUD,Common Stock,AU000000EWC5,EWC,Energy World Corporation Ltd
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF,Australia,AU,AUD,ETF,AU00000EX202,EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF
EXL,Elixinol Wellness Ltd,Australia,AU,AUD,Common Stock,AU000000EXL4,EXL,Elixinol Wellness Ltd
EXP,Experience Co Ltd,Australia,AU,AUD,Common Stock,AU000000EXP5,EXP,Experience Co Ltd
EXR,Elixir Energy Ltd,Australia,AU,AUD,Common Stock,AU000000EXR1,EXR,Elixir Energy Ltd
EXT,Excite Technology Services Ltd,Australia,AU,AUD,Common Stock,AU0000073827,EXT,Excite Technology Services Ltd
EYE,Nova EYE Medical Ltd,Australia,AU,AUD,Common Stock,AU0000094252,EYE,Nova EYE Medical Ltd
EZL,EUROZ Hartleys Group Ltd,Australia,AU,AUD,Common Stock,AU000000EZL9,EZL,EUROZ Hartleys Group Ltd
EZZ,EZZ Life Science Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000130569,EZZ,EZZ Life Science Holdings Ltd
F100,Betashares Ftse 100 ETF,Australia,AU,AUD,ETF,AU0000051054,F100,Betashares Ftse 100 ETF
FAIR,Betashares Australian Sustainability Leaders ETF,Australia,AU,AUD,ETF,AU00000FAIR4,FAIR,Betashares Australian Sustainability Leaders ETF
FAL,Falcon Metals Ltd,Australia,AU,AUD,Common Stock,AU0000187569,FAL,Falcon Metals Ltd
FANG,Global X Fang+ ETF,Australia,AU,AUD,ETF,AU0000078669,FANG,Global X Fang+ ETF
FAR,FAR Ltd,Australia,AU,AUD,Common Stock,AU000000FAR6,FAR,FAR Ltd
FASI,Fidelity Asia Active ETF,Australia,AU,AUD,ETF,,FASI,Fidelity Asia Active ETF
FAU,First Au Ltd,Australia,AU,AUD,Common Stock,AU0000015414,FAU,First Au Ltd
FBM,Future Battery Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000272072,FBM,Future Battery Minerals Ltd
FBR,FBR Ltd,Australia,AU,AUD,Common Stock,AU000000FBR4,FBR,FBR Ltd
FBU,Fletcher Building Ltd,Australia,AU,AUD,Common Stock,NZFBUE0001S0,FBU,Fletcher Building Ltd
FCAP,Fidelity Global Future Leaders Active ETF,Australia,AU,AUD,ETF,,FCAP,Fidelity Global Future Leaders Active ETF
FCG,Freedom Care Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000FCG5,FCG,Freedom Care Group Holdings Ltd
FCL,Fineos Corporation Holdings Plc,Australia,AU,AUD,Common Stock,AU0000054322,FCL,Fineos Corporation Holdings Plc
FCT,Firstwave Cloud Technology Ltd,Australia,AU,AUD,Common Stock,AU000000FCT8,FCT,Firstwave Cloud Technology Ltd
FDR,Finder Energy Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000212078,FDR,Finder Energy Holdings Ltd
FDV,Frontier Digital Ventures Ltd,Australia,AU,AUD,Common Stock,AU000000FDV2,FDV,Frontier Digital Ventures Ltd
FEG,Far East Gold Ltd,Australia,AU,AUD,Common Stock,AU0000191793,FEG,Far East Gold Ltd
FEMX,Fidelity Global Emerging Markets Active ETF,Australia,AU,AUD,ETF,AU0000027708,FEMX,Fidelity Global Emerging Markets Active ETF
FEX,FENIX Resources Ltd,Australia,AU,AUD,Common Stock,AU0000025132,FEX,FENIX Resources Ltd
FFG,Fatfish Group Ltd,Australia,AU,AUD,Common Stock,AU000000FFG8,FFG,Fatfish Group Ltd
FFI,FFI Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000FFI4,FFI,FFI Holdings Ltd
FFM,Firefly Metals Ltd,Australia,AU,AUD,Common Stock,AU0000313769,FFM,Firefly Metals Ltd
FG1,FLYNN Gold Ltd,Australia,AU,AUD,Common Stock,AU0000143695,FG1,FLYNN Gold Ltd
FGG,Future Generation Global Ltd,Australia,AU,AUD,Common Stock,AU000000FGG6,FGG,Future Generation Global Ltd
FGH,Foresta Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000LER6,FGH,Foresta Group Holdings Ltd
FGR,First Graphene Ltd,Australia,AU,AUD,Common Stock,AU000000FGR3,FGR,First Graphene Ltd
FGX,Future Generation Australia Ltd,Australia,AU,AUD,Common Stock,AU000000FGX1,FGX,Future Generation Australia Ltd
FHCO,Fidelity Australian High Conviction Active ETF,Australia,AU,AUD,ETF,,FHCO,Fidelity Australian High Conviction Active ETF
FHE,Frontier Energy Ltd,Australia,AU,AUD,Common Stock,AU0000207912,FHE,Frontier Energy Ltd
FHNG,Global X Fang+ (Currency Hedged) ETF,Australia,AU,AUD,ETF,AU0000336505,FHNG,Global X Fang+ (Currency Hedged) ETF
FHS,Freehill Mining Ltd,Australia,AU,AUD,Common Stock,AU000000FHS9,FHS,Freehill Mining Ltd
FID,Fiducian Group Ltd,Australia,AU,AUD,Common Stock,AU000000FID9,FID,Fiducian Group Ltd
FIIN,Fidelity India Active ETF,Australia,AU,AUD,ETF,,FIIN,Fidelity India Active ETF
FIN,FIN Resources Ltd,Australia,AU,AUD,Common Stock,AU0000009425,FIN,FIN Resources Ltd
FL1,First Lithium Ltd,Australia,AU,AUD,Common Stock,AU0000297764,FL1,First Lithium Ltd
FLC,Fluence Corporation Ltd,Australia,AU,AUD,Common Stock,AU000000FLC5,FLC,Fluence Corporation Ltd
FLG,Flagship Minerals Ltd,Australia,AU,AUD,Common Stock,AU0000379323,FLG,Flagship Minerals Ltd
FLN,Freelancer Ltd,Australia,AU,AUD,Common Stock,AU000000FLN2,FLN,Freelancer Ltd
FLOT,Vaneck Australian Floating Rate ETF,Australia,AU,AUD,ETF,AU00000FLOT5,FLOT,Vaneck Australian Floating Rate ETF
FLT,Flight Centre Travel Group Ltd,Australia,AU,AUD,Common Stock,AU000000FLT9,FLT,Flight Centre Travel Group Ltd
FLX,FELIX Group Holdings Ltd,Australia,AU,AUD,Common Stock,AU0000123879,FLX,FELIX Group Holdings Ltd
